"Frequency","Prob.","C","D","E","F"
9192631733.200001,0.08799999999999999,61.217,67.117,0.08,0.122
9192631733.4,0.08799999999999999,59.844,65.629,0.078,0.125
9192631733.6,0.08699999999999999,62.809,68.78400000000001,0.068,0.121
9192631733.799999,0.089,60.807,66.773,0.07199999999999999,0.125
9192631734,0.089,63.098,69.27,0.06900000000000001,0.118
9192631734.200001,0.09,60.19,66.154,0.07099999999999999,0.12
9192631734.4,0.08799999999999999,60.411,66.23999999999999,0.079,0.12
9192631734.6,0.08500000000000001,63.232,69.14100000000001,0.08,0.114
9192631734.799999,0.08699999999999999,65.11199999999999,71.325,0.076,0.119
9192631735,0.097,60.235,66.699,0.095,0.137
9192631735.200001,0.09,61.564,67.651,0.096,0.12
9192631735.4,0.091,61.633,67.82899999999999,0.101,0.134
9192631735.6,0.093,59.557,65.633,0.09,0.132
9192631735.799999,0.092,60.898,67.059,0.08699999999999999,0.123
9192631736,0.093,60.511,66.691,0.09,0.133
9192631736.200001,0.095,59.482,65.75,0.08799999999999999,0.132
9192631736.4,0.097,60.216,66.68000000000001,0.076,0.139
9192631736.6,0.095,61.937,68.43600000000001,0.08500000000000001,0.123
9192631736.799999,0.095,61.313,67.774,0.06900000000000001,0.132
9192631737,0.096,62.628,69.24299999999999,0.076,0.132
9192631737.200001,0.095,60.694,67.051,0.07199999999999999,0.124
9192631737.4,0.093,61.1,67.331,0.083,0.123
9192631737.6,0.092,60.604,66.752,0.095,0.119
9192631737.799999,0.097,60.852,67.40300000000001,0.1,0.133
9192631738,0.095,60.414,66.741,0.102,0.133
9192631738.200001,0.094,59.85,66.083,0.105,0.135
9192631738.4,0.096,59.561,65.864,0.105,0.133
9192631738.6,0.098,60.372,66.901,0.09,0.144
9192631738.799999,0.101,58.843,65.42700000000001,0.097,0.139
9192631739,0.099,60.69,67.35899999999999,0.091,0.136
9192631739.200001,0.1,59.801,66.435,0.08500000000000001,0.135
9192631739.4,0.095,62.332,68.864,0.079,0.131
9192631739.6,0.098,61.255,67.93899999999999,0.073,0.128
9192631739.799999,0.101,60.334,67.14400000000001,0.079,0.136
9192631740,0.097,60.163,66.63800000000001,0.076,0.129
9192631740.200001,0.099,61.072,67.806,0.08500000000000001,0.131
9192631740.4,0.102,60.821,67.735,0.08699999999999999,0.136
9192631740.6,0.103,60.24,67.172,0.094,0.142
9192631740.799999,0.098,59.212,65.675,0.108,0.136
9192631741,0.099,60.934,67.63200000000001,0.112,0.139
9192631741.200001,0.102,61.166,68.143,0.114,0.139
9192631741.4,0.103,60.798,67.78400000000001,0.119,0.143
9192631741.6,0.101,57.938,64.434,0.107,0.138
9192631741.799999,0.102,60.178,67.032,0.091,0.136
9192631742,0.103,59.718,66.61199999999999,0.097,0.138
9192631742.200001,0.101,60.086,66.80200000000001,0.07199999999999999,0.135
9192631742.4,0.102,59.729,66.542,0.081,0.134
9192631742.6,0.101,59.094,65.76600000000001,0.076,0.134
9192631742.799999,0.102,57.737,64.27200000000001,0.076,0.136
9192631743,0.105,59.983,67.03100000000001,0.08799999999999999,0.142
9192631743.200001,0.106,58.564,65.491,0.101,0.137
9192631743.4,0.106,58.513,65.428,0.098,0.142
9192631743.6,0.106,58.74,65.714,0.11,0.131
9192631743.799999,0.107,58.559,65.572,0.116,0.139
9192631744,0.111,59.666,67.105,0.123,0.148
9192631744.200001,0.114,59.086,66.69,0.13,0.15
9192631744.4,0.112,56.842,64.03,0.126,0.145
9192631744.6,0.111,59.831,67.28,0.115,0.14
9192631744.799999,0.107,59.947,67.152,0.09,0.14
9192631745,0.105,59.289,66.241,0.08400000000000001,0.136
9192631745.200001,0.105,58.178,64.996,0.081,0.142
9192631745.4,0.107,57.1,63.949,0.073,0.134
9192631745.6,0.107,58.605,65.628,0.073,0.14
9192631745.799999,0.107,58.847,65.871,0.08699999999999999,0.141
9192631746,0.107,58.131,65.081,0.08699999999999999,0.138
9192631746.200001,0.109,59.327,66.60299999999999,0.105,0.139
9192631746.4,0.112,56.577,63.712,0.105,0.148
9192631746.6,0.118,56.923,64.521,0.132,0.149
9192631746.799999,0.116,59.063,66.80200000000001,0.126,0.148
9192631747,0.121,56.887,64.69799999999999,0.136,0.153
9192631747.200001,0.119,56.24,63.819,0.125,0.153
9192631747.4,0.115,55.579,62.803,0.107,0.145
9192631747.6,0.115,55.972,63.241,0.107,0.143
9192631747.799999,0.112,57.269,64.497,0.108,0.142
9192631748,0.105,56.856,63.534,0.089,0.136
9192631748.200001,0.105,57.861,64.655,0.079,0.133
9192631748.4,0.108,56.416,63.268,0.08,0.143
9192631748.6,0.106,55.975,62.636,0.077,0.137
9192631748.799999,0.104,58.883,65.735,0.08,0.135
9192631749,0.114,56.185,63.439,0.105,0.149
9192631749.200001,0.118,56.214,63.707,0.116,0.158
9192631749.4,0.122,52.008,59.211,0.12,0.157
9192631749.6,0.125,55.265,63.137,0.126,0.161
9192631749.799999,0.13,54.396,62.552,0.144,0.173
9192631750,0.13,55.08,63.318,0.143,0.164
9192631750.200001,0.127,53.003,60.732,0.133,0.163
9192631750.4,0.123,54.983,62.677,0.121,0.157
9192631750.6,0.117,56.667,64.161,0.108,0.152
9192631750.799999,0.115,56.872,64.23699999999999,0.104,0.149
9192631751,0.102,57.867,64.42100000000001,0.076,0.14
9192631751.200001,0.097,57.032,63.184,0.06900000000000001,0.131
9192631751.4,0.108,57.238,64.148,0.08599999999999999,0.149
9192631751.6,0.111,56.592,63.638,0.098,0.142
9192631751.799999,0.11,57.869,65.04000000000001,0.1,0.14
9192631752,0.115,55.444,62.621,0.102,0.142
9192631752.200001,0.12,55.906,63.509,0.116,0.151
9192631752.4,0.13,53.859,61.889,0.128,0.176
9192631752.6,0.144,49.197,57.473,0.154,0.202
9192631752.799999,0.139,52.486,60.953,0.152,0.182
9192631753,0.138,53.796,62.411,0.142,0.171
9192631753.200001,0.13,52.634,60.533,0.133,0.161
9192631753.4,0.118,53.891,61.13,0.109,0.16
9192631753.6,0.113,57.013,64.248,0.089,0.152
9192631753.799999,0.111,57.754,64.959,0.096,0.153
9192631754,0.095,56.641,62.621,0.07199999999999999,0.136
9192631754.200001,0.096,55.199,61.05,0.07099999999999999,0.135
9192631754.4,0.099,54.814,60.826,0.076,0.145
9192631754.6,0.109,54.247,60.895,0.09,0.154
9192631754.799999,0.114,52.969,59.787,0.092,0.162
9192631755,0.127,52.637,60.286,0.119,0.172
9192631755.200001,0.144,51.427,60.098,0.141,0.193
9192631755.4,0.142,52.159,60.774,0.14,0.18
9192631755.6,0.153,50.952,60.15,0.15,0.202
9192631755.799999,0.147,52.641,61.723,0.15,0.191
9192631756,0.145,52.907,61.895,0.149,0.189
9192631756.200001,0.132,51.279,59.063,0.133,0.169
9192631756.4,0.116,54.665,61.849,0.099,0.153
9192631756.6,0.118,54.962,62.281,0.11,0.15
9192631756.799999,0.103,52.159,58.132,0.096,0.127
9192631757,0.094,53.482,59.05,0.075,0.124
9192631757.200001,0.096,55.649,61.558,0.08,0.128
9192631757.4,0.099,55.75,61.857,0.08799999999999999,0.124
9192631757.6,0.117,54.777,62.005,0.104,0.15
9192631757.799999,0.132,53.543,61.687,0.128,0.167
9192631758,0.136,50.415,58.355,0.136,0.177
9192631758.200001,0.152,50.208,59.207,0.151,0.185
9192631758.4,0.15,50.82,59.814,0.15,0.191
9192631758.6,0.152,51.823,61.131,0.155,0.188
9192631758.799999,0.154,52.289,61.795,0.159,0.194
9192631759,0.142,52.189,60.826,0.143,0.177
9192631759.200001,0.113,54.906,61.904,0.102,0.148
9192631759.4,0.114,52.927,59.709,0.106,0.142
9192631759.6,0.1,53.624,59.589,0.08599999999999999,0.131
9192631759.799999,0.098,55.834,61.868,0.092,0.132
9192631760,0.093,55.29,60.93,0.079,0.124
9192631760.200001,0.08799999999999999,57.064,62.566,0.07099999999999999,0.121
9192631760.4,0.103,57.39,63.995,0.09,0.135
9192631760.6,0.119,54.989,62.45,0.109,0.149
9192631760.799999,0.135,53.323,61.678,0.125,0.169
9192631761,0.15,54.055,63.568,0.142,0.178
9192631761.200001,0.161,50.989,60.748,0.16,0.194
9192631761.4,0.16,50.323,59.936,0.163,0.189
9192631761.6,0.16,51.51,61.299,0.168,0.199
9192631761.799999,0.144,50.271,58.74,0.141,0.184
9192631762,0.135,52.202,60.34,0.127,0.175
9192631762.200001,0.125,52.244,59.713,0.121,0.159
9192631762.4,0.123,54.577,62.254,0.121,0.164
9192631762.6,0.094,58.703,64.771,0.078,0.134
9192631762.799999,0.094,54.572,60.205,0.078,0.13
9192631763,0.089,56.088,61.596,0.083,0.12
9192631763.200001,0.118,54.265,61.553,0.112,0.15
9192631763.4,0.111,55.026,61.886,0.11,0.146
9192631763.6,0.131,53.71,61.799,0.125,0.17
9192631763.799999,0.14,54.066,62.879,0.127,0.167
9192631764,0.163,50.688,60.528,0.161,0.19
9192631764.200001,0.166,51.45,61.69,0.17,0.202
9192631764.4,0.172,50.778,61.32,0.16,0.21
9192631764.6,0.148,51.496,60.437,0.136,0.191
9192631764.799999,0.14,52.71,61.258,0.139,0.186
9192631765,0.132,54.282,62.532,0.127,0.175
9192631765.200001,0.11,56.098,63.043,0.103,0.156
9192631765.4,0.094,56.643,62.534,0.08400000000000001,0.13
9192631765.6,0.08599999999999999,55.726,60.966,0.073,0.13
9192631765.799999,0.095,53.585,59.204,0.081,0.136
9192631766,0.093,56.721,62.555,0.089,0.124
9192631766.200001,0.111,53.925,60.63,0.101,0.143
9192631766.4,0.122,54.631,62.217,0.125,0.152
9192631766.6,0.153,51.73,61.062,0.15,0.196
9192631766.799999,0.157,53.458,63.428,0.158,0.186
9192631767,0.167,53.527,64.277,0.164,0.192
9192631767.200001,0.168,52.604,63.215,0.169,0.205
9192631767.4,0.165,50.92,61.016,0.157,0.196
9192631767.6,0.153,50.604,59.774,0.149,0.193
9192631767.799999,0.129,54.055,62.088,0.122,0.167
9192631768,0.105,55.735,62.302,0.105,0.149
9192631768.200001,0.108,55.885,62.677,0.1,0.146
9192631768.4,0.08400000000000001,58.683,64.074,0.08,0.121
9192631768.6,0.08699999999999999,56.335,61.724,0.07199999999999999,0.127
9192631768.799999,0.093,55.31,61,0.083,0.13
9192631769,0.105,56.705,63.348,0.09,0.139
9192631769.200001,0.12,56.538,64.241,0.117,0.154
9192631769.4,0.125,55.977,64.005,0.114,0.16
