Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-4.251968503937007426e+00,1.857494436318969100e-01,3.627438034238222864e-02
-4.188976377952756458e+00,2.052229517972805617e-01,9.104449466303111971e-02
-4.125984251968502825e+00,2.558368447482800567e-01,2.530420004625609787e-01
-4.062992125984250968e+00,3.193840304071587921e-01,4.544732829569992361e-01
-4.000000000000000000e+00,3.687870394770731419e-01,6.050920660200765910e-01
-3.937007874015746367e+00,3.806601689336215899e-01,6.341084945128966366e-01
-3.874015748031495399e+00,3.475586710915505306e-01,5.249770506570100581e-01
-3.811023622047243986e+00,2.836505133837831094e-01,3.259971357412351778e-01
-3.748031496062990353e+00,2.201474958951966099e-01,1.304249969963482692e-01
-3.685039370078738941e+00,1.916129864703244312e-01,3.414212735226417744e-02
-3.622047244094487972e+00,2.190261045754013647e-01,9.009862193623661974e-02
-3.559055118110234339e+00,2.977882139682974105e-01,2.812003125721047603e-01
-3.496062992125982927e+00,3.972560817784800413e-01,5.254421940005447045e-01
-3.433070866141731514e+00,4.732684918507392147e-01,7.122298640671778092e-01
-3.370078740157480546e+00,4.887305880349064324e-01,7.538289639795878738e-01
-3.307086614173226913e+00,4.327534301053388988e-01,6.279628907926746439e-01
-3.244094488188975500e+00,3.286196608441594447e-01,3.908531406045151479e-01
-3.181102362204724088e+00,2.255061123720953353e-01,1.533443231335760992e-01
-3.118110236220470455e+00,1.765571935028231176e-01,3.015214773490563355e-02
-3.055118110236219486e+00,2.129817973165859801e-01,8.550466726348894542e-02
-2.992125984251968074e+00,3.267154006891745954e-01,3.009976012638430620e-01
-2.929133858267714441e+00,4.710222480529091538e-01,5.817432565860880533e-01
-2.866141732283463028e+00,5.802719917185992227e-01,7.991118579715225101e-01
-2.803149606299212060e+00,6.006748369000165511e-01,8.508140339667681351e-01
-2.740157480314960647e+00,5.176326573740328563e-01,7.101893177603366691e-01
-2.677165354330707014e+00,3.659026509229558743e-01,4.408863575584223704e-01
-2.614173228346455602e+00,2.162337656902022787e-01,1.689746353443776494e-01
-2.551181102362204633e+00,1.433264861453098782e-01,2.464625872867642203e-02
-2.488188976377951001e+00,1.895738345480760811e-01,8.051823964658119670e-02
-2.425196850393699588e+00,3.421566379252253820e-01,3.158617888176020183e-01
-2.362204724409448175e+00,5.356762895966139526e-01,6.244235038256039649e-01
-2.299212598425194987e+00,6.807111772518202875e-01,8.631006723743983589e-01
-2.236220472440943574e+00,7.059177485950188791e-01,9.191582565414051498e-01
-2.173228346456692162e+00,5.938434324071114601e-01,7.643331548958394173e-01
-2.110236220472440749e+00,3.925097136716915736e-01,4.697725958494713416e-01
-2.047244094488187560e+00,1.956904353448010170e-01,1.739381442742120032e-01
-1.984251968503936148e+00,9.979788604387250517e-02,1.792085115803039586e-02
-1.921259842519684735e+00,1.572137932041053898e-01,7.844338982015836015e-02
-1.858267716535431324e+00,3.486981991046769203e-01,3.304592361741189865e-01
-1.795275590551179912e+00,5.893094555345275154e-01,6.576526639633751836e-01
-1.732283464566928721e+00,7.665572156493674072e-01,9.065500724412068889e-01
-1.669291338582675088e+00,7.936660549323538705e-01,9.590511841488517097e-01
-1.606299212598423898e+00,6.526535110011985052e-01,7.890240111015115465e-01
-1.543307086614172485e+00,4.058002551681555992e-01,4.757529722657556914e-01
-1.480314960629921295e+00,1.686360693506122332e-01,1.672979655983818370e-01
-1.417322834645667662e+00,5.608131689078511839e-02,1.067960766755682821e-02
-1.354330708661416471e+00,1.269315505558811508e-01,8.186236603498164843e-02
-1.291338582677165059e+00,3.536069192933834482e-01,3.489671977652104573e-01
-1.228346456692911426e+00,6.327185873886831402e-01,6.866026939426738140e-01
-1.165354330708660235e+00,8.326425017704720544e-01,9.349309647109238508e-01
-1.102362204724409045e+00,8.561550147214472828e-01,9.756278111337012282e-01
-1.039370078740155412e+00,6.881961722063052456e-01,7.885737364411126160e-01
-9.763779527559041105e-01,4.052041437458041018e-01,4.620386126968637486e-01
-9.133858267716528090e-01,1.405040166617108621e-01,1.511705004144208997e-01
-8.503937007874015075e-01,2.143679672233675046e-02,4.302863925981465637e-03
-7.874015748031479855e-01,1.080044164757172631e-01,9.212579358445281696e-02
-7.244094488188966841e-01,3.627338927628134813e-01,3.736092930389444677e-01
-6.614173228346453826e-01,6.669438548010012680e-01,7.151628482111085372e-01
-5.984251968503917496e-01,8.764043396272641617e-01,9.541125325207525654e-01
-5.354330708661405591e-01,8.901792236221990340e-01,9.763149214655785224e-01
-4.724409448818892021e-01,6.996339722219908630e-01,7.708278221506000838e-01
-4.094488188976356802e-01,3.936970538947024978e-01,4.354002751022487683e-01
-3.464566929133843787e-01,1.172926705629948885e-01,1.300046365664455361e-01
-2.834645669291330772e-01,2.451078748829130845e-03,5.072009366580412446e-04
-2.204724409448817757e-01,1.050002393075869095e-01,1.089340704794640041e-01
-1.574803149606282260e-01,3.773473749039039093e-01,4.037155716563382568e-01
-9.448818897637693837e-02,6.906872728371952208e-01,7.442136117323099320e-01
-3.149606299212564381e-02,8.962352118043521720e-01,9.678665314899791428e-01
3.149606299212791977e-02,8.962351260216731008e-01,9.678664381205598355e-01
9.448818897637921432e-02,6.906870563048045364e-01,7.442133762173989142e-01
1.574803149606305019e-01,3.773471305501135409e-01,4.037153064581782691e-01
